기준일,시장구분,시가,고가,저가,종가,수정주가,거래량,거래대금,시가총액,외국인시가총액,PER,FPER,PBR,DY,created_at,updated_at,신용잔고,예탁금
2021-11-12,KOSPI,2945.95,2973.84,2938.27,2968.8,,665732990,12473000,2185440000,712758020,,,,,,,12804100,63531300
2021-11-15,KOSPI,2989.68,3003.71,2979.96,2999.52,,639395970,11402100,2207950080,719878980,,,,,,,12736600,64191200
2021-11-16,KOSPI,2995.68,3011.88,2985.34,2997.21,,579646020,11101200,2208640000,720353020,,,,,,,12651300,66382000
2021-11-17,KOSPI,3004.02,3004.67,2957.7,2962.42,,541489980,10661700,2183849980,712806980,,,,,,,12666200,66814300
2021-11-18,KOSPI,2959.26,2964.48,2937.53,2947.38,,541652990,10119300,2173100030,709635970,,,,,,,12699100,66354700
2021-11-19,KOSPI,2951.06,2974.64,2948.07,2971.02,,657094020,11002200,2192240130,715720000,,,,,,,12724500,66080800
2021-11-22,KOSPI,2983.38,3018.01,2980.73,3013.25,,530959008,12945500,2225329920,734547970,,,,,,,12730100,65096400
2021-11-23,KOSPI,3013.16,3016.36,2992.14,2997.33,,524232992,10830500,2213809920,731334980,,,,,,,12704200,65245400
2021-11-24,KOSPI,3006.34,3017.9,2981.02,2994.29,,556640000,10963500,2210800130,729790980,,,,,,,12623100,64670000
2021-11-25,KOSPI,2996.74,2996.74,2973.24,2980.27,,595969980,9401090,2199950080,724508990,,,,,,,12608100,64176500
2021-11-26,KOSPI,2973.04,2985.77,2930.31,2936.44,,595598020,11901300,2167439870,712988030,,,,,,,12660900,64904500
2021-11-29,KOSPI,2906.15,2930.22,2890.78,2909.32,,844400000,13092800,2148359940,707699970,,,,,,,12687000,67010800
2021-11-30,KOSPI,2932.71,2942.93,2822.73,2839.01,,983555970,19852300,2095820030,691120000,,,,,,,12575900,65982400
2021-12-01,KOSPI,2860.12,2905.74,2837.03,2899.72,,563926980,12534500,2143340030,712348990,,,,,,,12348000,67393296
2021-12-02,KOSPI,2874.64,2945.27,2874.64,2945.27,,534462016,11918400,2176910080,725337020,,,,,,,12117100,67279696
2021-12-03,KOSPI,2935.93,2975.44,2927.55,2968.33,,486748992,10344400,2192839940,728300030,,,,,,,11997200,64244400
2021-12-06,KOSPI,2954.82,2983.5,2932.49,2973.25,,479908000,9657400,2197380100,731060990,,,,,,,11956500,64278900
2021-12-07,KOSPI,2973.84,2992.31,2960.9,2991.72,,541369980,10215600,2211219970,736969980,,,,,,,11991200,64455600
2021-12-08,KOSPI,3017.93,3036.13,2995.34,3001.8,,488246016,11115200,2218149890,743489980,,,,,,,12068200,63039300
2021-12-09,KOSPI,3007,3029.57,3001.55,3029.57,,513446016,12614000,2238779900,750788990,,,,,,,12132700,63548400
2021-12-10,KOSPI,3008.7,3017.64,2998.29,3010.23,,451599008,8434890,2225639940,743702020,,,,,,,12118300,63528400
2021-12-13,KOSPI,3019.67,3043.83,3000.51,3001.66,,375828000,8629450,2219440130,742145020,,,,,,,12100900,64477300
2021-12-14,KOSPI,2983.95,3001.7,2976.16,2987.95,,581569980,9856790,2209779970,738963010,,,,,,,12161400,64062500
2021-12-15,KOSPI,2979.83,2992.3,2973,2989.39,,432873984,8253060,2210899970,739772030,,,,,,,12144000,63562200
2021-12-16,KOSPI,3013.26,3018.2,2989.63,3006.41,,402824992,8524310,2223259900,743220990,,,,,,,12187800,63595900
2021-12-17,KOSPI,2985.2,3017.73,2984.19,3017.73,,451824000,11650000,2231059970,744974980,,,,,,,12236200,62840800
2021-12-20,KOSPI,3001.33,3001.33,2962.07,2963,,377584992,8621300,2191460100,730793020,,,,,,,12238100,63519000
2021-12-21,KOSPI,2981.67,2984.56,2955.9,2975.03,,410980000,9108500,2200900100,735998020,,,,,,,12198000,63476600
2021-12-22,KOSPI,2993.5,3000.79,2976.65,2984.48,,461755008,8835650,2208300030,740984000,,,,,,,12257700,62203700
2021-12-23,KOSPI,2998.02,3000.7,2980.91,2998.17,,483839008,9319630,2218650110,745652990,,,,,,,12219900,63346300
2021-12-24,KOSPI,3009.48,3025.77,3009.48,3012.43,,537548030,8583470,2230020100,749900030,,,,,,,12185100,62775800
2021-12-27,KOSPI,3013.94,3017.31,2999.3,2999.55,,475363008,8280390,2221530110,749488000,,,,,,,12159000,64471300
2021-12-28,KOSPI,3006.77,3020.29,2991.55,3020.24,,607046020,12096900,2237619970,754576000,,,,,,,12111800,66201000
2021-12-29,KOSPI,3002.9,3007.72,2988.67,2993.29,,545832000,10908700,2215460100,744068990,,,,,,,12125500,68001504
2021-12-30,KOSPI,2999.75,3005.36,2975.74,2977.65,,461038016,8727460,2203369980,738884990,,,,,,,12055200,69653504
2021-12-31,KOSPI,,,,,,,,,,,,,,,,12050200,67530704
2022-01-03,KOSPI,2998.32,3010.77,2979.42,2988.77,,435825984,8193890,2211369980,741521980,,,,,,,12127400,71732800
2022-01-04,KOSPI,2991.97,2995.25,2973.08,2989.24,,621548990,9991470,2212090110,742230020,,,,,,,12175900,66570200
2022-01-05,KOSPI,2984.05,2986.2,2936.73,2953.97,,787345980,15428400,2186720000,734692990,,,,,,,12194700,68986096
2022-01-06,KOSPI,2925.4,2952.54,2915.38,2920.53,,786044990,13297100,2162439940,728819010,,,,,,,12319300,67356400
2022-01-07,KOSPI,2933.78,2959.03,2933.1,2954.89,,546172030,10582400,2187559940,738684990,,,,,,,12400100,65204700
2022-01-10,KOSPI,2947.37,2951.12,2910.9,2926.72,,477400000,10397800,2166759940,732675010,,,,,,,12281500,64432500
2022-01-11,KOSPI,2930.93,2943.57,2909.82,2927.38,,566172030,10646500,2168029950,737424000,,,,,,,12257600,64664300
2022-01-12,KOSPI,2950.78,2972.58,2950.31,2972.48,,519500992,10895400,2200969980,747854980,,,,,,,12340600,64603300
2022-01-13,KOSPI,2979.91,2982.14,2958.39,2962.09,,604870980,11459000,2193799940,744724990,,,,,,,12267400,64095400
2022-01-14,KOSPI,2937.61,2944.97,2914.73,2921.92,,532668000,10799700,2164999940,735529980,,,,,,,12218800,65340100
2022-01-17,KOSPI,2918.55,2919.67,2875.98,2890.1,,593260990,10396500,2141590020,729366980,,,,,,,12241300,74258896
2022-01-18,KOSPI,2898.98,2902.79,2857.26,2864.24,,554041020,10041000,2121900030,724947010,,,,,,,12303700,70386304
2022-01-19,KOSPI,2840.34,2871.79,2832.18,2842.28,,463830016,9649070,2105219970,719089980,,,,,,,12258700,54020000
2022-01-20,KOSPI,2842.28,2862.7,2830.97,2862.68,,395668992,8872020,2119410050,721451010,,,,,,,12140200,53805600
2022-01-21,KOSPI,2837.49,2847.95,2817.11,2834.29,,532752992,10718100,2098930050,714073020,,,,,,,12020900,74041000
2022-01-24,KOSPI,2823.76,2828.11,2780.68,2792,,473992992,9304490,2068280060,705083010,,,,,,,12034200,71396304
2022-01-25,KOSPI,2786.41,2789.62,2703.99,2720.39,,639958980,11700900,2016269950,688873980,,,,,,,11964300,69545600
2022-01-26,KOSPI,2729.75,2744.14,2708.1,2709.24,,472651008,8978730,2007680000,686580990,,,,,,,11806300,71467296
2022-01-27,KOSPI,2709.24,2722.86,2614.49,2614.49,,487727008,20548800,2056790020,669561980,,,,,,,11564600,75107296
2022-01-28,KOSPI,2617.87,2668.59,2591.53,2663.34,,434187008,13753100,2094860030,685665980,,,,,,,11402500,70344704
2022-02-03,KOSPI,2706.34,2735.34,2702.78,2707.82,,435710016,12472500,2129670020,693120000,,,,,,,11265000,68709904
2022-02-04,KOSPI,2714.83,2751.8,2712.87,2750.26,,536148992,11393300,2162190080,702996990,,,,,,,11113800,66665800
2022-02-07,KOSPI,2750.7,2750.7,2718.94,2745.06,,417838016,11291900,2157580030,694998020,,,,,,,11108200,66809700
2022-02-08,KOSPI,2767.76,2779.85,2726.72,2746.47,,560534020,11785900,2158490110,695107970,,,,,,,11201000,66630300
2022-02-09,KOSPI,2772.63,2773.38,2753.51,2768.85,,539123970,10337600,2176100100,704865980,,,,,,,11344800,64001500
2022-02-10,KOSPI,2787.44,2788.27,2761.76,2771.93,,509611008,12776200,2179940100,712940030,,,,,,,11332100,63695900
2022-02-11,KOSPI,2739.14,2766.7,2735.08,2747.71,,480520000,10992600,2161380100,708851970,,,,,,,11342400,64101100
2022-02-14,KOSPI,2715.1,2724.72,2688.24,2704.48,,616342980,11579400,2126850050,698121020,,,,,,,11350300,65462300
2022-02-15,KOSPI,2712.45,2716.45,2665.47,2676.54,,589038980,9435830,2104889980,693505020,,,,,,,11289400,64558400
2022-02-16,KOSPI,2719.61,2730.43,2711.34,2729.68,,422366016,8389880,2146200060,705494020,,,,,,,11154800,63485100
2022-02-17,KOSPI,2735.11,2770.66,2711.99,2744.09,,611422020,11812900,2157580030,710318020,,,,,,,11006500,63394800
2022-02-18,KOSPI,2714.52,2747.08,2711.88,2744.52,,513520992,8508340,2157430020,706339010,,,,,,,10965800,62500500
2022-02-21,KOSPI,2706.65,2746.62,2694.9,2743.8,,495300992,7896730,2156630020,704665980,,,,,,,10903600,62473100
2022-02-22,KOSPI,2705.08,2721.84,2690.09,2706.79,,648401020,10590500,2127949950,695270980,,,,,,,10949900,63703200
2022-02-23,KOSPI,2727.43,2729.56,2705.31,2719.53,,537841020,9138530,2137369980,695142020,,,,,,,11006500,63142700
2022-02-24,KOSPI,2689.28,2694.55,2642.63,2648.8,,926400000,13586100,2082130050,677118020,,,,,,,11031400,65273300
2022-02-25,KOSPI,2678.47,2694.81,2665.96,2676.76,,664347010,12221000,2103960060,682425020,,,,,,,11082900,64993000
2022-02-28,KOSPI,2663,2699.18,2658.25,2699.18,,613470020,12894200,2120189950,687315970,,,,,,,11079500,63425400
2022-03-02,KOSPI,2698.31,2716.46,2692.24,2703.52,,527950016,10996700,2123030020,684033020,,,,,,,11032700,64362800
2022-03-03,KOSPI,2729.86,2748.21,2726.35,2747.08,,614515010,10592900,2156829950,695652990,,,,,,,11046600,64262900
2022-03-04,KOSPI,2736.58,2736.58,2702.34,2713.43,,765676030,12427400,2132470020,683990020,,,,,,,11152200,63036900
2022-03-07,KOSPI,2680.17,2680.17,2644.1,2651.31,,571561980,12089300,2083200000,665833020,,,,,,,11184600,65862900
2022-03-08,KOSPI,2617.33,2647.18,2605.81,2622.4,,540369980,11679500,2060700030,658347010,,,,,,,11351800,64383200
2022-03-10,KOSPI,2660.86,2682.79,2660.86,2680.32,,613809980,13694700,2105100030,672811010,,,,,,,11459100,63137200
2022-03-11,KOSPI,2665.95,2672.62,2647.28,2661.28,,797033980,12363200,2090550020,665320000,,,,,,,11427800,62500900
2022-03-14,KOSPI,2654.93,2661.76,2633.31,2645.65,,636323970,12037800,2078070020,663616000,,,,,,,11373900,63014000
2022-03-15,KOSPI,2630.31,2641.97,2615.08,2621.53,,604182020,9583000,2059389950,657030980,,,,,,,11464900,62711900
2022-03-16,KOSPI,2649.85,2659.9,2630.03,2659.23,,736353980,9310850,2088519940,666020990,,,,,,,11519700,60971700
2022-03-17,KOSPI,2703.27,2714,2694.51,2694.51,,546078980,11900900,2116540030,677692990,,,,,,,11480200,61063900
2022-03-18,KOSPI,2695.64,2708.16,2688.71,2707.02,,644017020,11442600,2125660030,678380030,,,,,,,11474400,61449200
2022-03-21,KOSPI,2717.81,2717.81,2683.69,2686.05,,502401984,8693850,2109389950,672140030,,,,,,,11404200,62786600
2022-03-22,KOSPI,2686.68,2712.14,2686.58,2710,,489441984,9367510,2127000060,677900990,,,,,,,11448100,62328600
2022-03-23,KOSPI,2727.12,2742.27,2720.83,2735.05,,883376000,11838700,2146409980,684038980,,,,,,,11534000,61585100
2022-03-24,KOSPI,2716.25,2729.66,2705.14,2729.66,,960897980,13177900,2142620030,682560000,,,,,,,11533500,63342200
2022-03-25,KOSPI,2740.83,2740.95,2722.36,2729.98,,602771010,10825000,2143379970,679649980,,,,,,,11545100,62977200
2022-03-28,KOSPI,2721.22,2737.46,2707.74,2729.56,,768043010,9801740,2143330050,679910980,,,,,,,11649300,63856400
2022-03-29,KOSPI,2745.62,2754.18,2733.22,2741.07,,732158980,10020300,2152620030,683337020,,,,,,,11719000,63191100
2022-03-30,KOSPI,2758.31,2760.6,2740.02,2746.74,,840134020,11099500,2156900100,683646020,,,,,,,11737200,62820700
2022-03-31,KOSPI,2743.24,2765.2,2743.2,2757.65,,1030289980,9729370,2164960000,684601020,,,,,,,11726000,63282600
2022-04-01,KOSPI,2745.85,2745.85,2729.68,2739.85,,1305560060,10689600,2151280130,680008000,,,,,,,11684500,66805100
2022-04-04,KOSPI,2729.86,2758.38,2722.45,2757.9,,1022969980,9744920,2164960000,682928000,,,,,,,11664900,65850300
2022-04-05,KOSPI,2765.5,2769.18,2750.5,2759.2,,1605990020,9933180,2165860100,684324990,,,,,,,11737700,62245000
2022-04-06,KOSPI,2739.07,2747.85,2730.66,2735.03,,1321639940,11014500,2147030020,674958020,,,,,,,11742600,62482500
2022-04-07,KOSPI,2714.7,2718.5,2693.36,2695.86,,999276030,12291000,2116920060,665680000,,,,,,,11791400,63666800
2022-04-08,KOSPI,2706.64,2712,2685.52,2700.39,,948355010,10296200,2119200000,666800000,,,,,,,11832400,61892800
2022-04-11,KOSPI,2687.54,2711.02,2683.96,2693.1,,742601980,8831630,2113760000,665422980,,,,,,,11850300,61636000
2022-04-12,KOSPI,2674.17,2685.08,2658.4,2666.76,,870969980,9853720,2092579970,662936000,,,,,,,11836200,62068200
2022-04-13,KOSPI,2677.53,2717.63,2672.6,2716.49,,733241020,9645440,2131309950,669448000,,,,,,,11839900,61577800
2022-04-14,KOSPI,2719.34,2720.3,2702.61,2716.71,,665350980,11419800,2130739970,665193980,,,,,,,11833900,62714000
2022-04-15,KOSPI,2695.52,2705.41,2685.01,2696.06,,693718020,9570270,2114429950,658163010,,,,,,,11784800,61797300
2022-04-18,KOSPI,2685.04,2701.11,2681.37,2693.21,,1024910020,9050330,2112800000,658724990,,,,,,,11822300,62471900
2022-04-19,KOSPI,2707.76,2723.98,2705.32,2718.89,,1257389950,9779980,2133069950,664833980,,,,,,,11883200,61068700
2022-04-20,KOSPI,2718.49,2724.46,2702.84,2718.69,,1736280060,12283900,2132909950,665395970,,,,,,,11882700,60401100
2022-04-21,KOSPI,2725.71,2737.54,2725.04,2728.21,,1002969980,11482600,2140419970,667708030,,,,,,,11888100,61748700
2022-04-22,KOSPI,2704.72,2708.58,2690.48,2704.71,,1239910020,12120600,2122780030,661969980,,,,,,,11921600,62860100
2022-04-25,KOSPI,2676.67,2680.35,2657.04,2657.13,,1018009980,11698100,2085609980,649678020,,,,,,,11880500,63861400
2022-04-26,KOSPI,2674,2678.05,2663.83,2668.31,,889942020,10807900,2093890050,651281980,,,,,,,11946400,65573700
2022-04-27,KOSPI,2630.58,2641.82,2615.5,2639.06,,1072369980,12558700,2070450050,641299970,,,,,,,11899400,64856000
2022-04-28,KOSPI,2656.54,2667.49,2638.37,2667.49,,899169020,12463400,2097779970,648220030,,,,,,,11890300,62922900
2022-04-29,KOSPI,2669.18,2696.1,2664.06,2695.05,,975252990,12664800,2119859970,658942980,,,,,,,11885900,61406200
2022-05-02,KOSPI,2669.21,2689.91,2667.85,2687.45,,873723010,9075650,2114439940,657305020,,,,,,,11862000,61799000
2022-05-03,KOSPI,2690.16,2702.1,2680.46,2680.46,,883403010,9199340,2109350020,656689020,,,,,,,11842400,62164800
2022-05-04,KOSPI,2690.45,2696.03,2667.23,2677.57,,1181020030,9903930,2107549950,658584000,,,,,,,11897800,63327400
2022-05-06,KOSPI,2650.89,2652.51,2635.97,2644.51,,1333939970,10595400,2081319940,648568000,,,,,,,11922700,60390800
2022-05-09,KOSPI,2634.32,2642.75,2606.08,2610.81,,892652990,9289660,2055160060,642361020,,,,,,,11936200,61806300
2022-05-10,KOSPI,2590.13,2602.75,2553.01,2596.56,,841462980,10842500,2043670020,638435970,,,,,,,11920900,61585600
2022-05-11,KOSPI,2586.52,2599.11,2579.09,2592.27,,679510020,8608260,2040259970,637777980,,,,,,,11826100,59903800
2022-05-12,KOSPI,2569.5,2591.57,2546.8,2550.08,,900331010,12167900,2007200000,627926980,,,,,,,11748200,60324800
2022-05-13,KOSPI,2570.01,2605.84,2565.96,2604.24,,788539010,10342100,2049289980,642083970,,,,,,,11789700,59966500
2022-05-16,KOSPI,2624.69,2629.2,2593.61,2596.58,,780198980,8528540,2043529980,639945020,,,,,,,11691300,59089000
2022-05-17,KOSPI,2603.58,2621.84,2603.58,2620.44,,873518980,9658880,2062680060,647294020,,,,,,,11573300,60507700
2022-05-18,KOSPI,2634.75,2644.13,2618,2625.98,,870268030,10047200,2067580030,650025980,,,,,,,11573200,59190500
2022-05-19,KOSPI,2576.24,2597.79,2568.54,2592.34,,677595010,9883990,2041379970,640438020,,,,,,,11589100,59763800
2022-05-20,KOSPI,2605.78,2641.68,2605.38,2639.29,,755652990,9634340,2077560060,650974980,,,,,,,11601300,59601600
2022-05-23,KOSPI,2651.63,2653.87,2634.29,2647.38,,644204990,7815200,2083209980,651868030,,,,,,,11612700,58664600
2022-05-24,KOSPI,2638.94,2646.99,2605.87,2605.87,,851235970,8703520,2050780030,640033980,,,,,,,11541000,59360200
2022-05-25,KOSPI,2621.75,2630.17,2602.94,2617.22,,712611010,8353420,2059890050,642345980,,,,,,,11547500,59213800
2022-05-26,KOSPI,2616.99,2641.91,2602.01,2612.45,,595849020,8613520,2056300030,639233980,,,,,,,11546000,58853500
2022-05-27,KOSPI,2640.75,2644.71,2631.49,2638.05,,590814020,8028160,2076120060,646656000,,,,,,,11508700,58483400
2022-05-30,KOSPI,2662.31,2672.74,2654.18,2669.66,,469798016,7473950,2101289980,655756990,,,,,,,11514600,58348000
2022-05-31,KOSPI,2666.88,2685.9,2654.32,2685.9,,671678980,13970900,2113779970,659628990,,,,,,,11428000,57567100
2022-06-02,KOSPI,2670.74,2674,2653.59,2658.99,,525259008,7860480,2092790020,652131970,,,,,,,11372800,61632100
2022-06-03,KOSPI,2679.57,2681.51,2663,2670.65,,562470020,7566760,2101699970,654376000,,,,,,,11368500,58652600
2022-06-07,KOSPI,2659.27,2662.04,2622.78,2626.34,,524710016,8948920,2067170050,642616000,,,,,,,11473700,57786600
2022-06-08,KOSPI,2633.53,2639.52,2621.96,2626.15,,576390020,7964340,2066739970,642768000,,,,,,,11407100,57517400
2022-06-09,KOSPI,2618.92,2627.88,2606.61,2625.44,,814883010,10858000,2066450050,642467010,,,,,,,11486600,56997100
2022-06-10,KOSPI,2596.37,2602.8,2583.74,2595.87,,724089980,8285960,2043209980,632406020,,,,,,,11447900,57304400
2022-06-13,KOSPI,2550.21,2550.32,2504.51,2504.51,,660308990,10335900,1972199940,611276990,,,,,,,11443900,59081000
2022-06-14,KOSPI,2472.96,2503.17,2457.39,2492.97,,671756990,9992820,1962989950,608340990,,,,,,,11473700,58736600
2022-06-15,KOSPI,2490.01,2495.54,2436.04,2447.38,,714142980,9936930,1926860030,597644990,,,,,,,11241900,57976300
2022-06-16,KOSPI,2481.66,2500.36,2447.33,2451.41,,584041020,9588190,1931069950,598625020,,,,,,,11025100,57020700
2022-06-17,KOSPI,2409.72,2441.34,2396.47,2440.93,,634897020,11201600,1921149950,592342020,,,,,,,10857200,57173600
2022-06-20,KOSPI,2449.89,2449.89,2372.35,2391.03,,592702020,9092290,1881479940,581208000,,,,,,,10702100,57205600
2022-06-21,KOSPI,2402.99,2423.48,2385.6,2408.93,,479678016,7440760,1894969980,583003010,,,,,,,10607900,56962100
2022-06-22,KOSPI,2417.11,2418.05,2342.81,2342.81,,532139008,8690130,1843890050,568499970,,,,,,,10454900,56394600
2022-06-23,KOSPI,2347.84,2361.23,2306.48,2314.32,,749660990,10212400,1821180030,563128000,,,,,,,10313400,56988900
2022-06-24,KOSPI,2327.11,2373.48,2319.99,2366.6,,654446020,8469160,1862320000,574694020,,,,,,,10140900,57546000
2022-06-27,KOSPI,2383.2,2418.94,2365.86,2401.92,,510587008,7656360,1890530050,582025980,,,,,,,9716630,57433700
2022-06-28,KOSPI,2405.2,2422.1,2393.96,2422.09,,564985980,7193430,1906210050,590998020,,,,,,,9573190,58317500
2022-06-29,KOSPI,2387.1,2393.25,2375.45,2377.99,,422127008,7965810,1871280000,578060030,,,,,,,9573060,57357600
2022-06-30,KOSPI,2368.57,2368.57,2332.59,2332.64,,515396000,8923480,1835490050,563944000,,,,,,,9628880,57364900
2022-07-01,KOSPI,2342.92,2354.97,2291.49,2305.42,,530345984,8687670,1814290050,558020990,,,,,,,9716930,58738300
2022-07-04,KOSPI,2310.73,2318.31,2276.63,2300.34,,467960000,7339360,1810669950,558939010,,,,,,,9705860,57669300
2022-07-05,KOSPI,2322.11,2344.08,2309.62,2341.78,,323904992,6890580,1842520060,567233980,,,,,,,9621090,54924400
2022-07-06,KOSPI,2330.11,2332.14,2290.33,2292.01,,410732000,8919470,1804230020,555568000,,,,,,,9522220,55476500
2022-07-07,KOSPI,2308.97,2344.14,2307.9,2334.27,,340172992,7652640,1837890050,566724990,,,,,,,9472650,55008400
2022-07-08,KOSPI,2352.49,2367.84,2348.74,2350.61,,411424992,7008120,1850889980,571363970,,,,,,,9580980,54413700
2022-07-11,KOSPI,2357.43,2363.26,2337.82,2340.27,,377108000,6301230,1843260030,568422980,,,,,,,9549610,55232300
2022-07-12,KOSPI,2330.88,2333.02,2303.74,2317.76,,379308000,6369260,1824989950,562321980,,,,,,,9567340,55201600
2022-07-13,KOSPI,2324.45,2341.19,2312.49,2328.61,,308806016,5998500,1832979970,563884990,,,,,,,9616090,55794400
2022-07-14,KOSPI,2316.41,2338.29,2307.69,2322.32,,349137984,6539860,1829590020,562832000,,,,,,,9613410,55776700
2022-07-15,KOSPI,2335.12,2337.3,2293.45,2330.98,,319675008,7383210,1837260030,569648000,,,,,,,9586450,54478700
2022-07-18,KOSPI,2350.48,2376.5,2344.12,2375.25,,324356992,7104660,1873110020,584814980,,,,,,,9608790,54854300
2022-07-19,KOSPI,2367.52,2372.74,2359.59,2370.97,,339377984,6556190,1869400060,582131010,,,,,,,9626560,53495900
2022-07-20,KOSPI,2406.29,2410.06,2382.65,2386.85,,333328992,7434800,1881639940,585788030,,,,,,,9593520,53492200
2022-07-21,KOSPI,2387.91,2411.96,2387.91,2409.16,,295624000,6309070,1899059970,593571970,,,,,,,9653610,56072400
2022-07-22,KOSPI,2405.37,2417.91,2391.48,2393.14,,381596992,6973850,1886499970,588459010,,,,,,,9684160,55240600
2022-07-25,KOSPI,2385.65,2412.47,2385.65,2403.69,,323091008,5959860,1894259970,589179010,,,,,,,9665620,54732900
2022-07-26,KOSPI,2397.27,2415.39,2395.17,2412.96,,415671008,6240740,1901209980,591601980,,,,,,,9720850,54836700
2022-07-27,KOSPI,2412.52,2415.53,2396.19,2415.53,,333588000,7049800,1903520000,592076990,,,,,,,9704300,54664400
2022-07-28,KOSPI,2437.57,2443.43,2429.07,2435.27,,491072992,9196430,1919420030,595862020,,,,,,,9747930,53878500
2022-07-29,KOSPI,2453.53,2463.05,2442.01,2451.5,,499368992,10256300,1931900030,598110980,,,,,,,9817130,54259000
2022-08-01,KOSPI,2444.05,2461.4,2437.13,2452.25,,487160000,7509600,1932450050,597177020,,,,,,,9852750,55766400
2022-08-02,KOSPI,2451,2451.07,2428.76,2439.62,,549923970,7266260,1922819970,595694020,,,,,,,9844420,55109900
2022-08-03,KOSPI,2438.56,2461.45,2433.12,2461.45,,475302016,6751540,1939570050,599249980,,,,,,,9880980,56039300
2022-08-04,KOSPI,2478.44,2478.95,2465.32,2473.11,,399964992,7506320,1948550020,601881020,,,,,,,9928960,55172700
2022-08-05,KOSPI,2481.43,2497.58,2480.05,2490.8,,409776000,7561090,1962989950,605884990,,,,,,,9907620,53762900
2022-08-08,KOSPI,2481.17,2494,2477.76,2493.1,,418233984,7613760,1964009980,604057980,,,,,,,9963150,54234400
2022-08-09,KOSPI,2493.57,2506.49,2481.36,2503.46,,454364000,8940800,1971840000,604884990,,,,,,,9938400,54315500
2022-08-10,KOSPI,2493.7,2494.15,2478.21,2480.88,,479467008,9029480,1953609980,596889020,,,,,,,9985970,55493900
2022-08-11,KOSPI,2507.74,2523.78,2506.41,2523.78,,505246016,9710840,1986819970,606310980,,,,,,,10037100,54787300
2022-08-12,KOSPI,2519.66,2533.2,2514.31,2527.94,,445547008,8028580,1990520060,608264000,,,,,,,10091000,55313800
2022-08-16,KOSPI,2543.05,2546.35,2532.2,2533.52,,398335008,8064110,1995549950,611110980,,,,,,,10079800,56949800
2022-08-17,KOSPI,2536.57,2543.15,2512.01,2516.47,,418052992,7153680,1982240000,607920000,,,,,,,10108200,56003600
2022-08-18,KOSPI,2499.3,2515.37,2488.09,2508.05,,381628000,7105980,1976099970,607233980,,,,,,,10119500,55225200
2022-08-19,KOSPI,2510.72,2510.72,2492.69,2492.69,,459835008,7138650,1963840000,604385020,,,,,,,10128800,55227400
2022-08-22,KOSPI,2467.38,2475.77,2457.08,2462.5,,422552000,6108020,1940550020,596910980,,,,,,,10185300,54832300
2022-08-23,KOSPI,2449.31,2454.55,2431.83,2435.34,,471166016,7560710,1919619970,589587010,,,,,,,10168800,54835100
2022-08-24,KOSPI,2446.18,2454.01,2430.69,2447.45,,423502016,8119780,1928429950,591073020,,,,,,,10119900,54681400
