기준일,시장구분,시가,고가,저가,종가,수정주가,거래량,거래대금,시가총액,외국인시가총액,PER,FPER,PBR,DY,created_at,updated_at,신용잔고,예탁금
1996-07-01,KOSDAQ,1000,1000,1000,1000,,118692,,,,,,,,,,,
1996-07-01,KOSPI,816.47,833.79,816.05,833.79,,14250400,,,,,,,,,,,
1996-07-02,KOSDAQ,1001.7,1001.7,1001.7,1001.7,,143077,,,,,,,,,,,
1996-07-02,KOSPI,833.62,844.87,833.61,837.93,,19605400,,,,,,,,,,,
1996-07-03,KOSDAQ,1005.3,1005.3,1005.3,1005.3,,115058,,,,,,,,,,,
1996-07-03,KOSPI,837,839.53,829.87,838.24,,18451500,,,,,,,,,,,
1996-07-04,KOSDAQ,1018.4,1018.4,1018.4,1018.4,,235254,,,,,,,,,,,
1996-07-04,KOSPI,839.1,848.91,839.1,841.51,,21946100,,,,,,,,,,,
1996-07-05,KOSDAQ,1037.8,1037.8,1037.8,1037.8,,59924,,,,,,,,,,,
1996-07-05,KOSPI,843.17,847.18,838.51,845.12,,23466100,,,,,,,,,,,
1996-07-06,KOSDAQ,1048.8,1048.8,1048.8,1048.8,,34564,,,,,,,,,,,
1996-07-06,KOSPI,845.1,850.9,845.1,850.39,,14648500,,,,,,,,,,,
1996-07-08,KOSDAQ,1048.2,1048.2,1048.2,1048.2,,39943,,,,,,,,,,,
1996-07-08,KOSPI,850.9,857.27,847.99,847.99,,20707900,,,,,,,,,,,
1996-07-09,KOSDAQ,1060.1,1060.1,1060.1,1060.1,,45021,,,,,,,,,,,
1996-07-09,KOSPI,847.64,858.1,847.64,858.05,,21471900,,,,,,,,,,,
1996-07-10,KOSDAQ,1066.9,1066.9,1066.9,1066.9,,76140,,,,,,,,,,,
1996-07-10,KOSPI,858.56,861.14,854.23,858.79,,27152000,,,,,,,,,,,
1996-07-11,KOSDAQ,1076.7,1076.7,1076.7,1076.7,,55999,,,,,,,,,,,
1996-07-11,KOSPI,858.2,862.4,847.39,847.39,,28812400,,,,,,,,,,,
1996-07-12,KOSDAQ,1082.7,1082.7,1082.7,1082.7,,49673,,,,,,,,,,,
1996-07-12,KOSPI,846.76,846.76,838.64,839.82,,22309100,,,,,,,,,,,
1996-07-13,KOSDAQ,1082.3,1082.3,1082.3,1082.3,,23196,,,,,,,,,,,
1996-07-13,KOSPI,839.39,839.73,835.23,835.3,,15560100,,,,,,,,,,,
1996-07-15,KOSDAQ,1076.4,1076.4,1076.4,1076.4,,63400,,,,,,,,,,,
1996-07-15,KOSPI,833.54,833.54,814.11,814.11,,20746500,,,,,,,,,,,
1996-07-16,KOSDAQ,1088.4,1088.4,1088.4,1088.4,,94029,,,,,,,,,,,
1996-07-16,KOSPI,811.97,812.69,800.42,812.66,,23781100,,,,,,,,,,,
1996-07-18,KOSDAQ,1100.5,1100.5,1100.5,1100.5,,234779,,,,,,,,,,,
1996-07-18,KOSPI,813.34,827.78,813.34,816.47,,19105100,,,,,,,,,,,
1996-07-19,KOSDAQ,1110.8,1110.8,1110.8,1110.8,,78651,,,,,,,,,,,
1996-07-19,KOSPI,815.52,837.41,815.45,837.39,,19372000,,,,,,,,,,,
1996-07-20,KOSDAQ,1111,1111,1111,1111,,33320,,,,,,,,,,,
1996-07-20,KOSPI,838.55,845.85,835.99,840.05,,15224000,,,,,,,,,,,
1996-07-22,KOSDAQ,1111.1,1111.1,1111.1,1111.1,,136156,,,,,,,,,,,
1996-07-22,KOSPI,839.57,844.59,837.04,838.75,,19052700,,,,,,,,,,,
1996-07-23,KOSDAQ,1113.2,1113.2,1113.2,1113.2,,59490,,,,,,,,,,,
1996-07-23,KOSPI,837.66,840.47,835.38,838.78,,20130000,,,,,,,,,,,
1996-07-24,KOSDAQ,1116.9,1116.9,1116.9,1116.9,,50070,,,,,,,,,,,
1996-07-24,KOSPI,838.31,841.9,830.92,832.48,,19693700,,,,,,,,,,,
1996-07-25,KOSDAQ,1116.9,1116.9,1116.9,1116.9,,73924,,,,,,,,,,,
1996-07-25,KOSPI,831.64,831.64,818.87,820.29,,20846600,,,,,,,,,,,
1996-07-26,KOSDAQ,1116.7,1116.7,1116.7,1116.7,,122892,,,,,,,,,,,
1996-07-26,KOSPI,818.38,823.24,814,814.03,,23742800,,,,,,,,,,,
