기준일,시장구분,지수명,PER,FPER,PBR,DY,코스피신용,코스닥신용,신용잔고,adr
2000-01-04,KOSDAQ,코스닥,27.4,,,,,,,
2000-01-05,KOSDAQ,코스닥,26.9,,,,,,,
2000-01-06,KOSDAQ,코스닥,26.6,,,,,,,
2000-01-07,KOSDAQ,코스닥,25,,,,,,,
2000-01-10,KOSDAQ,코스닥,24.2,,,,,,,
2000-01-11,KOSDAQ,코스닥,24.2,,,,,,,
2000-01-12,KOSDAQ,코스닥,22.8,,,,,,,
2000-01-13,KOSDAQ,코스닥,21.4,,,,,,,
2000-01-14,KOSDAQ,코스닥,20.3,,,,,,,
2000-01-17,KOSDAQ,코스닥,20.3,,,,,,,
2000-01-18,KOSDAQ,코스닥,21.1,,,,,,,
2000-01-19,KOSDAQ,코스닥,20,,,,,,,
2000-01-20,KOSDAQ,코스닥,19.8,,,,,,,
2000-01-21,KOSDAQ,코스닥,20,,,,,,,
2000-01-24,KOSDAQ,코스닥,20.7,,,,,,,
2000-01-25,KOSDAQ,코스닥,20,,,,,,,
2000-01-26,KOSDAQ,코스닥,19.9,,,,,,,
2000-01-27,KOSDAQ,코스닥,19.1,,,,,,,
2000-01-28,KOSDAQ,코스닥,19.7,,,,,,,
2000-01-31,KOSDAQ,코스닥,19.5,,,,,,,
2000-02-01,KOSDAQ,코스닥,20.6,,,,,,,
2000-02-02,KOSDAQ,코스닥,21.9,,,,,,,
2000-02-03,KOSDAQ,코스닥,22.9,,,,,,,
2000-02-07,KOSDAQ,코스닥,24.9,,,,,,,
2000-02-08,KOSDAQ,코스닥,24.4,,,,,,,
2000-02-09,KOSDAQ,코스닥,25.7,,,,,,,
2000-02-10,KOSDAQ,코스닥,26.1,,,,,,,
2000-02-11,KOSDAQ,코스닥,27.9,,,,,,,
2000-02-14,KOSDAQ,코스닥,27.7,,,,,,,
2000-02-15,KOSDAQ,코스닥,26.2,,,,,,,
2000-02-16,KOSDAQ,코스닥,26.8,,,,,,,
2000-02-17,KOSDAQ,코스닥,28.9,,,,,,,
2000-02-18,KOSDAQ,코스닥,30.8,,,,,,,
2000-02-21,KOSDAQ,코스닥,31.8,,,,,,,
2000-02-22,KOSDAQ,코스닥,31.7,,,,,,,
2000-02-23,KOSDAQ,코스닥,31,,,,,,,
2000-02-24,KOSDAQ,코스닥,33.3,,,,,,,
2000-02-25,KOSDAQ,코스닥,34.9,,,,,,,
2000-02-28,KOSDAQ,코스닥,36.9,,,,,,,
2000-02-29,KOSDAQ,코스닥,39.1,,,,,,,
2000-03-02,KOSDAQ,코스닥,41.6,,,,,,,
2000-03-03,KOSDAQ,코스닥,41.1,,,,,,,
2000-03-06,KOSDAQ,코스닥,39.6,,,,,,,
2000-03-07,KOSDAQ,코스닥,38.4,,,,,,,
2000-03-08,KOSDAQ,코스닥,40.1,,,,,,,
2000-03-09,KOSDAQ,코스닥,42.4,,,,,,,
2000-03-10,KOSDAQ,코스닥,43.5,,,,,,,
2000-03-13,KOSDAQ,코스닥,45.1,,,,,,,
2000-03-14,KOSDAQ,코스닥,46,,,,,,,
2000-03-15,KOSDAQ,코스닥,47,,,,,,,
2000-03-16,KOSDAQ,코스닥,45,,,,,,,
2000-03-17,KOSDAQ,코스닥,43.1,,,,,,,
2000-03-20,KOSDAQ,코스닥,40,,,,,,,
2000-03-21,KOSDAQ,코스닥,38,,,,,,,
2000-03-22,KOSDAQ,코스닥,40.2,,,,,,,
2000-03-23,KOSDAQ,코스닥,39.2,,,,,,,
2000-03-24,KOSDAQ,코스닥,40.2,,,,,,,
2000-03-27,KOSDAQ,코스닥,40.2,,,,,,,
2000-03-28,KOSDAQ,코스닥,41.6,,,,,,,
2000-03-30,KOSDAQ,코스닥,41.6,,,,,,,
2000-03-31,KOSDAQ,코스닥,42.4,,,,,,,
2000-04-03,KOSDAQ,코스닥,41.4,,,,,,,
